Longitudes,Latitudes,Elevation,ExtSR,YearAvgI_HP,YearAvgI_IncP,OptSlopeAngle,YearAvgI_B,Ratio_D_G
88.412,26.684,113,1.367,119.0292,129.6775,28,86.0775,0.56333
88.61,27.291,911,1.367,115.4325,125.8333,28,78.92917,0.5625
89.656,27.49,2734,1.367,121.5617,132.9358,28,88.6733,0.5075
74.805,14.201,533,1.367,172.1091667,179.9633333,20,158.6466667,0.383333333
76.051,14.095,630,1.367,178.3891667,186.3141667,20,160.2375,0.398333333
78.011,14.026,573,1.367,178.1275,185.165,19,160.5616667,0.39
80.067,14.026,9,1.367,176.5316667,182.0341667,17,156.1016667,0.39
74.029,15.056,160,1.367,170.2016667,177.9825,21,149.6266667,0.3975
76.06,15.064,525,1.367,175.8475,184.6908333,22,159.8241667,0.401666667
78.02,15.013,269,1.367,177.4333333,185.6725,21,159.8683333,0.393333333
80.041,15.056,10,1.367,168.4275,175.3066667,20,144.9641667,0.411666667
73.504,16.073,63,1.367,168.0108333,177.9091667,23,157.2508333,0.389166667
75.508,16.065,602,1.367,173.1916667,182.6041667,22,155.7291667,0.41
77.52,16.048,367,1.367,172.9641667,182.2916667,22,156.5908333,0.400833333
79.572,16.014,93,1.367,173.57,182.3616667,21,156.5683333,0.395833333
81.124,16.031,8,1.367,166.2433333,173.6908333,20,140.1558333,0.425833333
73.348,17.037,58,1.367,166.4608333,177.2725,24,156.48,0.390833333
75.369,17.154,587,1.367,173.2858333,183.7825,23,158.7875,0.3975
77.373,17.003,502,1.367,172.2941667,182.8008333,23,155.7983333,0.415454546
79.394,17.003,179,1.367,170.2216667,180.1491667,23,153.2183333,0.4025
81.806,16.934,24,1.367,168.2975,177.1116667,22,146.495,0.411666667
73.039,18.067,18,1.367,167.6516667,179.135,25,161.3233333,0.3775
75.061,18.034,467,1.367,170.5525,181.6658333,24,156.935,0.400833333
77.056,18.017,601,1.367,172.8891667,183.9841667,24,154.6881818,0.396666667
79.086,18.034,439,1.367,171.7066667,183.0058333,24,159.8091667,0.386666667
81.081,18.034,125,1.367,167.9191667,178.8958333,24,152.7033333,0.394166667
83.085,18.042,93,1.367,159.8541667,170.9825,25,143.5141667,0.420833333
73.004,19.017,1,1.367,169.02,181.9525,26,161.6441667,0.389166667
75.096,19.034,644,1.367,173.4016667,185.5825,25,163.0691667,0.391666667
77.091,19.034,370,1.367,173.65,185.8166667,25,162.2166667,0.3925
79.095,19.092,199,1.367,169.8783333,182.2641667,25,157.4708333,0.391666667
81.09,18.992,319,1.367,167.7591667,180.0716667,25,156.4491667,0.388333333
83.147,19,1050,1.367,161.89,173.5725,25,143.9225,0.401666667
84.321,18.992,963,1.367,160.1008333,171.9483333,25,141.545,0.413333333
72.895,20.086,47,1.367,175.4458333,188.7,26,170.6358333,0.369166667
75.005,20.284,720,1.367,168.62625,180.5647222,26,155.6390152,0.394652778
77.009,20.152,528,1.367,169.6016667,182.7691667,26,162.4141667,0.385
81.087,20.086,358,1.367,166.0616667,178.7633333,26,154.35,0.4025
83.126,20.185,191,1.367,166.3716667,179.075,26,151.8791667,0.396666667
85.552,20.119,71,1.367,161.955,174.1766667,26,145.7175,0.408333333
68,33,2067,1.367,167.8951833,180.2754,27,155.442425,0.394623917
68,34,3034,1.367,167.4363069,179.8331417,28,154.8068604,0.394870326
68,35,2307,1.367,166.9184992,179.3345118,30,154.1893738,0.395067854
68,36,1965,1.367,166.6718491,179.0903711,29,153.9159216,0.395351258
68,37,336,1.367,166.5812365,179.0085937,32,153.7048151,0.395936113
68,38,784,1.367,166.9721729,179.4616015,28,154.520008,0.395458539
70,33,1022,1.367,167.5447873,180.08771,31,155.6012587,0.393969001
70,34,3222,1.367,166.8863696,179.3700192,31,154.3483802,0.396035834
70,35,2043,1.367,166.7413754,179.2704624,30,154.2408286,0.39615107
70,36,3409,1.367,166.503015,178.9789009,28,153.5597143,0.397080326
70,37,1179,1.367,166.5397913,178.9968677,31,153.4938571,0.396628686
70,38,1473,1.367,166.5537989,178.9903567,30,153.6284119,0.396625494
72,33,307,1.367,166.9370321,179.3914947,32,154.2876545,0.395649868
72,34,299,1.367,166.8571862,179.317836,32,154.1914237,0.395735364
72,35,1479,1.367,166.8089261,179.2748938,31,154.1401373,0.395807451
72,36,2442,1.367,166.7997951,179.2699256,21,154.1360342,0.395869084
72,37,5163,1.367,166.8104572,179.2848885,25,154.154377,0.395912236
72,38,3901,1.367,166.8295589,179.3079131,23,154.1918405,0.395910246
74,33,344,1.367,166.8176744,179.2951057,32,154.1644932,0.395947888
74,34,2326,1.367,166.7570817,179.2290554,30,154.0447627,0.396112796
74,35,3824,1.367,166.7463077,179.2173084,28,154.0194612,0.396119209
74,36,4013,1.367,166.7467187,179.2128789,25,154.001014,0.396116554
74,37,5174,1.367,166.7670274,179.232377,17,154.0377889,0.39603624
74,38,4025,1.367,166.7859637,179.2520028,32,154.0831166,0.395986869
76,33,2875,1.367,166.8053108,179.2738067,28,154.1210086,0.39593365
76,34,5389,1.367,166.794334,179.2639993,25,154.1071215,0.395957299
76,35,4298,1.367,166.7890963,179.2595129,30,154.1000963,0.395975793
76,36,5131,1.367,166.7874438,179.2582312,22,154.0967596,0.395989822
76,37,3444,1.367,166.7864146,179.2572567,31,154.0934867,0.395999883
76,38,3205,1.367,166.784411,179.254954,32,154.0884125,0.396007187
78,33,4875,1.367,166.7806487,179.2505407,32,154.0797935,0.396015266
78,34,5348,1.367,166.7775632,179.246827,27,154.0727352,0.396020881
78,35,4647,1.367,166.77927,179.248308,22,154.0750662,0.396013221
78,36,4637,1.367,166.7820168,179.2508913,34,154.0797,0.396004389
78,37,4355,1.367,166.7849584,179.254059,37,154.0862571,0.395995042
78,38,1279,1.367,166.7864526,179.2558658,35,154.0902961,0.395991609
80,33,5784,1.367,166.7864933,179.2561877,29,154.0908944,0.395992004
80,34,5711,1.367,166.7849252,179.2547195,23,154.0883849,0.395996866
80,35,4952,1.367,166.7841412,179.2539461,36,154.0868235,0.396000164
80,36,3520,1.367,166.7837282,179.2534822,34,154.0857175,0.396002194
80,37,1435,1.367,166.7834186,179.2530865,37,154.0847973,0.396003225
80,38,1240,1.367,166.7831689,179.252739,37,154.0840732,0.396003504
82,33,4701,1.367,166.3,191.45,34,185.835,0.309167
82,34,5777,1.367,119.4625,130.1683,29,91.63333,0.538333
82,35,5071,1.367,136.2917,161.7167,38,141.0025,0.4125
82,36,4466,1.367,140.5525,160.02,34,113.6575,0.460833
82,37,1437,1.367,147.5933,174.1275,38,134.935,0.438333
